doc_id,doc_type,source,token_count
sample_0,sample,就凭你的北京户口我就感觉你比我高级五个阶级，我是河北人😆,3
sample_2,sample,好久都没有见过那么干净的白人班级了，一个黑乐色都没有,4
sample_3,sample,我觉得中国女性媚外值得批评的是中国男性，你们看一看出轨的女人的老公一看就很软弱，而以前在社会上混的男人的老婆我没发现谁敢出轨，中国男人如果能和黑人或穆斯林男性一样暴力，那中国就没有媚外的说法。,20
sample_5,sample,事实就是这样，很多女人天天被家暴，被揍得鼻青脸肿什么似的，到处抱怨自己的不幸，但就是不离婚，反过来被男的捧在手心娇着惯着的每天就各种不满说男的不好动不动闹离婚还对男的上演家庭暴力。这就是?,13
sample_6,sample,那岂不是婊子都不如🤔,1
sample_7,sample,估计已经成了非洲某部落的第36号王妃,3
sample_8,sample,对号入座了，茶壶嘴破防了，戳到痛处了心脏不好的都来我这接种预防针,3
sample_10,sample,我中国人，你喜欢黑人麻烦你走😠😠😠,4
sample_11,sample,我不是河北人，但每次看到有人黑唐山也觉得恶心，一件打架斗殴的普通刑事案件能上热搜十几二十天，天天能看到骂唐山的，那个地方没有这种事，新闻一大堆，骂人算什么本事，有本事自己去制止犯罪，而不是口嗨。我感觉,24
sample_12,sample,受教育程度节节高升，服务业占比节节攀升。都学的是服务专业是吧,4
sample_13,sample,好幸福，喜翻儿喜翻儿,1
sample_14,sample,猪头肉哈哈哈哈哈,1
sample_15,sample,你们也可以搞一个跟黑女交往过的男的的名单啊。公平嘛。😆,3
sample_16,sample,不要出生是对她们最好的保护,4
sample_17,sample,说明一下，我只关爱自己身边的女性，比如老婆女儿等，别的女人关我鸟事。v,7
sample_18,sample,我现在在每一条地域黑回答下面都能看见浙江人，黑山东，山西，广东，湖北，东北，都是浙江人，我是真的理解不了，浙江人是不是除了自己谁都看不起啊😅,17
sample_19,sample,不一定……因为很多人会爱屋及乌，讨厌也同理。 比如说提起台湾你能想到周杰伦，偶像剧。提河南99%是井盖儿。。。,8
sample_20,sample,这个问题下有人有人在带节奏，那个叫务实帅男的，兄弟注意一下，他在挑拨离间，先装成东北人在河南为什么被地域黑的问题下骂河南人，然后私信回复他的河南人开始骂人，然后把两个人对骂的记录截取河南人骂东北人的片,22
sample_21,sample,😅看到你这评论，我真的忍不住了，我有个玩得很好的同事，我一直以为他是黑龙江的，他无奈的一次次告诉我，他是吉林的,9
sample_22,sample,比如说到知乎三大美食荒漠，北京人直接承认，还跟着骂，深圳外来人口多，归属感差，也不说什么。唯独杭州人那个跳，你说我们荒漠是因为你吃不起巴拉巴拉😢,5
sample_23,sample,整急眼了我可以干猪，但是不会干有过黑人男友的女人,4
sample_24,sample,什么叫本地人干的坏事全赖到外地人头上，法制节目里犯罪的基本都是苏北安徽的，身边但凡有点坏事都是外地人干的，吴语区本地人就极少有干坏事的人,12
sample_25,sample,Xg有些老年人也是這樣。不敢舉例詳細說，怕被關進小黑屋。,2
sample_26,sample,话说回来你又能拿同性恋怎么样呢？？有本事就弄死他们啊。几千万个，慢慢来。反正对于你这种以强凌弱的，也就这些本事这种心胸了。,4
sample_27,sample,这不是50w？？？,1
sample_28,sample,辽宁大连的，一直想大冬天去吉林长白山瞅瞅，感受大雪封山的感觉,3
sample_29,sample,日本女人贤不贤惠我不太在乎，反正中国女人已经跟贤妻良母不沾边了。印度女人给不给嫁妆无所谓，反正中国这边彩礼要给，嫁妆也不是男人的。美国女人随父姓也是小事儿，反正中国女人不仅不改姓，还要求孩子跟她们姓。,26
sample_30,sample,不能呼吸是对的,1
sample_31,sample,非洲黑人智商70，被学者归类为智障水平。美国黑人混血儿智商85，中非混血儿智商应该徘徊在90左右，妥妥的班里倒数,8
sample_32,sample,喜欢黑人请去你男人国家，赖在中国就不要怪别人骂了，动手都是应该的,8
sample_33,sample,你不会是怕将来你妻子告你强奸罪吧！你放心这项罪名很难取证的，女的一告就众叛亲离被人嘲笑，女的还怎么在家里呆下去，还不如直接告离婚,10
sample_35,sample,起码在冯丽这件事情上，是这几个博主到冯丽微博下留言加辱骂河南人的，到处蹭热度，我都怀疑这些人是不是有病呀！你骂他他就截屏，说你网暴他，你不骂他马上就跑到话题下继续地域黑，我去过西安，是一座美丽的城市，,28
sample_36,sample,不负家庭责任的没有写很多，因为这种很快就离了,6
sample_37,sample,江西为什么是第三号坏人,2
sample_38,sample,楼主啊！我记得这是某位普信女写的关于男性的条件吧，改的好，还有，您的帖子里面有条目🐶，赶紧置顶羞辱,9
sample_39,sample,只有资本家才能入犹太教当犹太人,2
sample_40,sample,部分地区穷吧，我说的不开化这一点,3
sample_41,sample,🐶兄弟！以后我就跟你混了！,2
sample_42,sample,绝对是 7年前我就遇见过有国外组织带领某些人大力黑安徽的 组织的头是个中国通的美国人 当时他住在上海 对中国文化了如指掌 中文很好还懂古诗什么的 他们假装上海人黑安徽人 带动真的网上上海人黑安徽人 后,23
sample_43,sample,现实中呢，自古以来哪个黄精灵带头冲格格巫的？就算有也极少。遇到生存危机了反而是黄精灵经常依附于格格巫，造就了后院黄精灵三千的佳话，而蓝精灵在前线送命究竟是谁挡在格格巫前面历史已经告诉我们答案了,11
sample_44,sample,应该多科普,1
sample_46,sample,她自己不也是一个哗众取宠的小丑？普信男有什么不好？难道天天跟个八婆一样怨天怨地怪异性才好？中国人讲究天行健君子以自强不息，普通人也要不断自强，而不是像某些群体一样一味崇洋媚外，逆向种族主义，或者性别主,13
sample_47,sample,最近挺热闹啊，是不是放暑假的原因使得一些反某某歧视的多了起来,5
sample_48,sample,这是事实吧，证据明摆着，我昨天看到真是气得不行囧,6
sample_49,sample,因为我太认真了~~我是真的把古兰经、圣经、佛经(佛经不是原版那种看不懂的)，认认真真的读了一部分，是没有读完的，然后我发现我实在是读不下去，佛经还能看点人生感悟什么的，而前两者实在是，我不好说贬低它们,15
sample_50,sample,能不能回复啊，笑死了，没见过这么嘴硬小胆的fw，是不是待会还要自己精神胜利一把说我不屑于和你说话啊,8
sample_53,sample,看新闻谁说华东理工大学的学生没有出声了？,3
sample_54,sample,是男挙定义宠女人的男人为狗，什么叫喜欢当狗。,4
sample_55,sample,所谓“女生文科强，男生理科强”的刻板印象是咋出来的？我就特别的偏理科,7
sample_56,sample,依然有歧视。我是河北的，2019年去北京当保安挣学费，人家说：你是河南人？（我家是河北南部邢台的，所以说话接近河南口音）我说不是，但是有什么关系呢。公司人事对我说：早些年只要是河南的，都不要。我年龄也,19
sample_57,sample,吧里这几个反同根本没什么能力，反同还得靠同性恋,6
sample_58,sample,终于可以说话了，这等级限制，这你们叫的“猪腰”是不是就是骂骂咧咧说要去人家学校堵人家的那个?,5
sample_59,sample,猪猪挺可爱的,1
sample_60,sample,河北欲哭无泪,1
sample_62,sample,笑死我了智商是硬伤啊,1
sample_63,sample,贴吧分吧，不同的吧有不同的氛围。而且贴吧一般不火的吧你也刷不到。贴吧其实是最容易报团的，但是感觉反倒男性势力较弱。除了个别男性吧外，很难在别的涉及男女问题上男性的反抗,14
sample_64,sample,身边一堆找过外国的什么成分很明显了,5
sample_65,sample,别听他的，他在危言耸听，为了爱情，去美好的非洲大草原吧,3
